               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070713,             0.06145,            0.024871,             0.82925,             0.22291,             0.21221,            0.044007,            0.054966,            0.026447,            0.014673,           0.0033277,           0.0033277,            0.070051
                   1,            0.050546,            0.036855,            0.012983,             0.77807,             0.42509,             0.46269,             0.17593,            0.048464,            0.020065,           0.0093734,           0.0063313,           0.0063313,            0.039721
                   2,            0.045016,            0.032748,            0.010362,             0.87831,             0.49778,             0.54063,             0.21098,            0.040529,             0.01973,           0.0089629,           0.0090049,           0.0090049,           0.0090616
                   3,            0.038519,            0.032058,           0.0090582,             0.87349,             0.53039,             0.57697,             0.30523,            0.034444,            0.020447,           0.0078724,            0.008515,            0.008515,            0.008515
                   4,            0.034694,            0.032061,           0.0086305,             0.81095,             0.62832,             0.63565,             0.31324,            0.033595,            0.020139,           0.0071029,            0.008515,            0.008515,            0.008515
                   5,            0.032264,             0.03086,           0.0068054,             0.78196,             0.63343,             0.67398,             0.33428,            0.036069,            0.019728,           0.0065479,             0.00802,             0.00802,             0.00802
                   6,            0.029968,            0.029633,           0.0055602,             0.81668,             0.64193,             0.69033,             0.36462,            0.032645,             0.02015,           0.0060524,            0.007525,            0.007525,            0.007525
                   7,            0.029059,            0.028417,           0.0055666,             0.74246,             0.63992,             0.67264,             0.35226,            0.032594,            0.019946,           0.0070857,             0.00703,             0.00703,             0.00703
                   8,            0.027768,             0.02773,           0.0050056,             0.72729,             0.73542,             0.73367,             0.36858,            0.035728,            0.020173,           0.0053184,            0.006535,            0.006535,            0.006535
                   9,            0.026833,            0.027216,           0.0044686,              0.6812,             0.70341,             0.67671,             0.35112,            0.033397,            0.020514,           0.0087143,             0.00604,             0.00604,             0.00604
                  10,            0.025416,            0.025808,           0.0037823,             0.71996,               0.783,             0.74931,               0.379,            0.032361,            0.020114,           0.0055724,            0.005545,            0.005545,            0.005545
                  11,            0.024491,            0.026179,           0.0036232,             0.71832,             0.74172,             0.74475,             0.40391,            0.029667,            0.019537,           0.0051259,             0.00505,             0.00505,             0.00505
                  12,            0.023524,             0.02585,           0.0030724,             0.73974,             0.77299,             0.77011,             0.41021,            0.030137,            0.019642,           0.0042014,            0.004555,            0.004555,            0.004555
                  13,            0.022585,            0.024278,           0.0029543,             0.83815,             0.72811,             0.75689,             0.40921,            0.028203,            0.019844,            0.004826,             0.00406,             0.00406,             0.00406
                  14,            0.021889,            0.024104,           0.0027844,             0.82975,             0.78451,             0.78337,             0.45074,            0.028617,             0.01954,           0.0047992,            0.003565,            0.003565,            0.003565
                  15,            0.021282,             0.02359,           0.0023533,             0.87435,               0.801,             0.83805,              0.4905,            0.026853,            0.019856,           0.0040054,             0.00307,             0.00307,             0.00307
                  16,            0.020492,            0.022928,           0.0021413,             0.86265,             0.76219,             0.80769,             0.47704,            0.026216,            0.019931,           0.0049506,            0.002575,            0.002575,            0.002575
                  17,            0.019602,            0.021798,           0.0019313,             0.78256,             0.78916,             0.79567,             0.47288,             0.02759,            0.019874,           0.0054326,             0.00208,             0.00208,             0.00208
                  18,             0.01928,             0.02234,           0.0017587,             0.84807,             0.77917,             0.81971,             0.49135,            0.025521,            0.020079,           0.0045768,            0.001585,            0.001585,            0.001585
                  19,            0.018834,            0.021827,            0.001635,             0.87816,              0.7499,             0.81655,             0.50493,            0.026178,            0.019793,           0.0043784,             0.00109,             0.00109,             0.00109
