               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084181,            0.050837,             0.02675,             0.81089,             0.23438,             0.19435,            0.054155,            0.058296,            0.028076,            0.017505,           0.0033152,           0.0033152,            0.070163
                   1,            0.060905,            0.040405,            0.015746,             0.62649,               0.456,             0.37157,             0.12705,            0.054332,            0.024021,            0.010972,           0.0066266,           0.0066266,            0.040141
                   2,            0.055594,            0.036206,            0.011951,              0.7998,             0.40624,             0.44909,             0.18013,            0.044272,            0.021602,           0.0081411,            0.009916,            0.009916,            0.010097
                   3,            0.047723,            0.035153,            0.010387,              0.8803,             0.44947,             0.52565,             0.24932,            0.037049,            0.022076,           0.0085633,            0.009901,            0.009901,            0.009901
                   4,            0.042438,            0.034216,           0.0094826,               0.875,             0.53886,             0.59842,             0.32676,            0.033696,            0.020781,           0.0069483,            0.009901,            0.009901,            0.009901
                   5,            0.040319,            0.032559,            0.008576,             0.86856,             0.52625,             0.59506,             0.32602,             0.03355,            0.019847,           0.0068936,            0.009868,            0.009868,            0.009868
                   6,            0.038935,            0.032338,           0.0077657,             0.62859,             0.58166,             0.56966,              0.2053,            0.048033,            0.021469,           0.0063838,            0.009835,            0.009835,            0.009835
                   7,            0.036857,            0.031161,           0.0071831,             0.70198,              0.5897,             0.58821,              0.2933,            0.037036,            0.020473,           0.0062842,            0.009802,            0.009802,            0.009802
                   8,            0.036519,            0.031395,           0.0069281,              0.7482,             0.58905,             0.61367,             0.29703,            0.037581,             0.02024,           0.0060045,            0.009769,            0.009769,            0.009769
                   9,            0.035612,            0.029631,           0.0060122,             0.61898,             0.70834,             0.65636,             0.30068,            0.037877,            0.019871,           0.0051757,            0.009736,            0.009736,            0.009736
                  10,             0.03477,            0.029429,           0.0058752,             0.69033,             0.70571,             0.69205,             0.38229,            0.032477,            0.019652,           0.0058005,            0.009703,            0.009703,            0.009703
                  11,            0.033992,            0.029676,           0.0052369,             0.66726,             0.63007,             0.63459,             0.30868,            0.036477,            0.020404,           0.0061027,             0.00967,             0.00967,             0.00967
                  12,            0.033764,            0.029284,           0.0048559,             0.73137,             0.68568,             0.69037,             0.33788,            0.035335,            0.019798,           0.0048732,            0.009637,            0.009637,            0.009637
                  13,             0.03372,            0.028668,           0.0047904,             0.62835,             0.74279,             0.69598,             0.39011,            0.033577,            0.019448,           0.0046242,            0.009604,            0.009604,            0.009604
                  14,            0.032795,            0.028206,           0.0047096,             0.81894,               0.668,             0.71716,             0.41803,            0.030677,            0.018846,           0.0050118,            0.009571,            0.009571,            0.009571
                  15,            0.032111,            0.027165,           0.0039445,             0.80606,             0.66918,             0.70694,             0.38287,            0.032895,            0.019647,           0.0051742,            0.009538,            0.009538,            0.009538
                  16,            0.032433,            0.027731,           0.0041781,             0.72123,             0.69161,             0.70384,             0.39753,            0.032115,            0.019698,           0.0055896,            0.009505,            0.009505,            0.009505
                  17,            0.031283,            0.027329,             0.00401,             0.85354,             0.61947,             0.72478,             0.37034,            0.035093,            0.019896,            0.004954,            0.009472,            0.009472,            0.009472
                  18,            0.031232,             0.02666,           0.0036821,             0.74869,              0.6892,             0.72891,             0.42058,            0.031184,            0.019281,            0.004977,            0.009439,            0.009439,            0.009439
                  19,            0.031237,            0.028253,           0.0036102,              0.6754,              0.7368,             0.69624,             0.40623,            0.031225,            0.019538,            0.005726,            0.009406,            0.009406,            0.009406
                  20,            0.030165,            0.026456,           0.0033625,             0.78341,             0.71947,             0.74182,              0.4556,             0.02976,            0.018744,           0.0049058,            0.009373,            0.009373,            0.009373
                  21,            0.029824,            0.026682,           0.0031208,             0.77497,             0.69672,              0.7233,              0.4272,            0.030006,            0.019436,           0.0051582,             0.00934,             0.00934,             0.00934
                  22,            0.029542,            0.026254,           0.0033019,             0.70584,             0.70603,             0.71089,             0.43216,             0.03041,            0.019493,           0.0050354,            0.009307,            0.009307,            0.009307
                  23,            0.029931,            0.026531,           0.0032756,             0.83774,             0.69162,             0.76474,             0.46162,            0.030801,            0.019389,           0.0043626,            0.009274,            0.009274,            0.009274
                  24,            0.029355,            0.025627,           0.0030488,             0.83165,             0.69664,             0.72933,             0.41583,            0.032075,            0.019828,           0.0052835,            0.009241,            0.009241,            0.009241
                  25,            0.029409,            0.025626,           0.0028347,             0.77227,             0.72765,             0.73845,             0.41979,            0.031109,            0.019512,           0.0051291,            0.009208,            0.009208,            0.009208
                  26,            0.028599,            0.025568,            0.002836,             0.83758,              0.6595,             0.73559,             0.46148,            0.029338,            0.019137,           0.0053196,            0.009175,            0.009175,            0.009175
                  27,            0.028733,             0.02448,           0.0025718,             0.86452,             0.69133,             0.73691,             0.41021,            0.034014,             0.02016,           0.0046825,            0.009142,            0.009142,            0.009142
                  28,            0.028434,            0.025361,           0.0024974,             0.86479,             0.66338,             0.73566,              0.4208,            0.032465,            0.019798,           0.0051958,            0.009109,            0.009109,            0.009109
                  29,            0.028684,            0.025224,           0.0027081,             0.76519,             0.70825,             0.75797,             0.41346,            0.032675,            0.019597,           0.0051137,            0.009076,            0.009076,            0.009076
                  30,             0.02792,              0.0249,            0.002594,             0.72691,             0.75951,             0.75361,             0.44097,            0.030866,            0.019715,           0.0044225,            0.009043,            0.009043,            0.009043
                  31,            0.028137,            0.025116,           0.0024281,             0.75874,             0.67651,              0.7003,             0.40836,            0.030546,            0.019603,           0.0056285,             0.00901,             0.00901,             0.00901
                  32,            0.027847,            0.025245,           0.0025187,             0.81885,             0.67919,             0.72151,              0.3979,            0.031666,            0.020351,           0.0058961,            0.008977,            0.008977,            0.008977
                  33,            0.027608,            0.025125,           0.0023446,             0.77299,             0.67703,             0.73602,             0.44038,            0.030376,             0.01945,           0.0053297,            0.008944,            0.008944,            0.008944
                  34,            0.027117,            0.024408,           0.0024023,             0.78809,             0.71701,             0.73328,             0.43278,            0.030295,            0.019745,           0.0047583,            0.008911,            0.008911,            0.008911
                  35,            0.026897,            0.023394,           0.0022497,             0.75218,             0.73294,             0.74717,             0.42314,            0.032066,            0.020505,           0.0055549,            0.008878,            0.008878,            0.008878
                  36,            0.026501,            0.024374,           0.0024386,             0.70255,             0.80166,             0.75172,             0.45554,            0.029591,             0.02005,            0.005347,            0.008845,            0.008845,            0.008845
                  37,            0.027222,            0.023632,           0.0024026,             0.77703,             0.76236,             0.76503,              0.4728,            0.028678,            0.019612,           0.0047685,            0.008812,            0.008812,            0.008812
                  38,            0.026672,            0.023361,           0.0022877,             0.80535,              0.7145,             0.75708,             0.45286,             0.02992,            0.019295,           0.0045661,            0.008779,            0.008779,            0.008779
                  39,            0.026764,            0.024012,           0.0022581,             0.68316,             0.77427,             0.74248,              0.4467,            0.029116,            0.019498,           0.0046428,            0.008746,            0.008746,            0.008746
