               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096033,            0.051578,            0.029815,              0.7373,            0.055944,            0.039021,           0.0071824,            0.083972,            0.046333,            0.020167,              0.0026,              0.0026,              0.0766
                   1,            0.075695,            0.042563,            0.019854,             0.77909,             0.12701,             0.14117,            0.032881,            0.075953,            0.034352,            0.014165,           0.0052563,           0.0052563,            0.052256
                   2,            0.064814,            0.037206,            0.014915,             0.59436,             0.40197,             0.25551,            0.062122,            0.059015,            0.039663,            0.012851,            0.007868,            0.007868,            0.027868
                   3,            0.057682,            0.036088,            0.012031,             0.62841,             0.35177,             0.28127,             0.10238,            0.050362,            0.032603,            0.017242,           0.0097525,           0.0097525,           0.0097525
                   4,            0.050108,            0.034365,            0.010143,             0.68573,              0.3792,             0.36557,             0.14564,            0.044587,            0.032071,            0.014987,           0.0097525,           0.0097525,           0.0097525
                   5,            0.044888,            0.033844,           0.0091429,             0.74084,             0.47932,             0.46512,             0.21486,            0.040634,             0.03387,           0.0089098,             0.00967,             0.00967,             0.00967
                   6,            0.043337,            0.032777,            0.008703,             0.90549,             0.48674,             0.57875,             0.28308,            0.039109,            0.021858,           0.0074002,           0.0095875,           0.0095875,           0.0095875
                   7,            0.039405,               0.031,           0.0075784,              0.8765,             0.49814,             0.57451,             0.26575,            0.038568,            0.024392,           0.0069642,            0.009505,            0.009505,            0.009505
                   8,            0.039477,            0.031099,           0.0072717,             0.85548,             0.48917,              0.5441,             0.28269,            0.035967,            0.023078,           0.0081519,           0.0094225,           0.0094225,           0.0094225
                   9,            0.038593,             0.02933,           0.0066824,             0.56288,              0.5967,             0.57831,             0.27205,            0.034986,             0.02272,           0.0077613,             0.00934,             0.00934,             0.00934
                  10,            0.036815,            0.029419,           0.0061338,             0.53045,             0.68567,             0.62892,             0.34749,            0.032651,            0.020647,           0.0059508,           0.0092575,           0.0092575,           0.0092575
                  11,            0.036493,            0.028836,            0.005516,             0.88844,             0.66373,             0.71968,             0.38797,            0.034775,            0.021391,           0.0055109,            0.009175,            0.009175,            0.009175
                  12,            0.035605,            0.028851,            0.004989,             0.91024,             0.59607,             0.67135,             0.33324,            0.035355,            0.022387,           0.0070629,           0.0090925,           0.0090925,           0.0090925
                  13,            0.034544,            0.028504,           0.0051498,             0.74096,              0.5976,             0.64243,             0.26952,            0.043049,            0.021922,           0.0063323,             0.00901,             0.00901,             0.00901
                  14,            0.034567,            0.027767,           0.0045876,              0.7493,             0.64717,             0.68191,             0.35181,            0.036321,             0.02163,           0.0055473,           0.0089275,           0.0089275,           0.0089275
                  15,            0.033666,            0.027211,           0.0041618,             0.83481,             0.66339,             0.72482,              0.3469,            0.036837,            0.021781,           0.0047181,            0.008845,            0.008845,            0.008845
                  16,            0.032762,             0.02643,           0.0040704,             0.72447,             0.64455,             0.69983,              0.3866,            0.032066,            0.020905,           0.0069372,           0.0087625,           0.0087625,           0.0087625
                  17,            0.033544,            0.026569,           0.0035969,             0.76419,             0.57902,             0.66069,             0.34943,            0.033841,            0.021266,           0.0059051,             0.00868,             0.00868,             0.00868
                  18,            0.032137,            0.026007,           0.0036213,             0.66643,             0.70408,             0.69746,             0.37092,            0.034911,             0.02067,           0.0056474,           0.0085975,           0.0085975,           0.0085975
                  19,            0.032163,            0.027614,           0.0036462,             0.73952,             0.73801,             0.72385,              0.4126,            0.032428,            0.021804,           0.0052799,            0.008515,            0.008515,            0.008515
                  20,            0.031496,            0.025908,           0.0033283,             0.83105,             0.69324,             0.74347,             0.38967,            0.038298,            0.021074,           0.0048446,           0.0084325,           0.0084325,           0.0084325
                  21,             0.03141,            0.025774,           0.0031082,             0.79634,             0.67712,             0.71336,             0.31854,            0.039483,            0.021472,            0.005216,             0.00835,             0.00835,             0.00835
                  22,            0.030464,            0.025279,           0.0028855,             0.74827,             0.71332,             0.70637,              0.3593,            0.033777,            0.021747,           0.0051643,           0.0082675,           0.0082675,           0.0082675
                  23,            0.030116,            0.026293,           0.0030445,              0.7909,             0.69748,             0.73151,             0.44309,            0.029471,            0.021512,           0.0050192,            0.008185,            0.008185,            0.008185
                  24,             0.03046,            0.024591,           0.0029018,             0.88007,             0.66082,             0.73767,             0.44132,            0.030191,            0.021158,           0.0053049,           0.0081025,           0.0081025,           0.0081025
                  25,            0.029362,            0.024455,           0.0029024,             0.72546,             0.67206,             0.71026,             0.38486,            0.034549,            0.022985,           0.0078005,             0.00802,             0.00802,             0.00802
                  26,            0.029388,            0.025656,           0.0025743,             0.76456,             0.75889,             0.74868,             0.35293,            0.039529,            0.022479,           0.0050711,           0.0079375,           0.0079375,           0.0079375
                  27,             0.02891,            0.023827,           0.0024906,             0.89897,             0.65573,             0.74035,              0.3961,            0.034623,            0.021602,           0.0043812,            0.007855,            0.007855,            0.007855
                  28,            0.029767,            0.024783,           0.0024635,             0.85274,             0.67286,             0.72307,             0.42065,            0.031877,            0.020741,           0.0046135,           0.0077725,           0.0077725,           0.0077725
                  29,            0.027937,            0.024612,           0.0024325,             0.72541,             0.67468,             0.68136,             0.39591,            0.032104,            0.022252,           0.0065213,             0.00769,             0.00769,             0.00769
