               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093065,            0.052405,            0.029112,             0.73736,             0.14113,            0.061221,            0.012391,            0.080355,              0.0416,            0.017206,           0.0032558,           0.0032558,            0.070698
                   1,            0.069816,            0.042798,            0.018345,             0.48992,             0.31994,             0.17229,            0.039943,             0.07134,            0.029104,            0.010777,           0.0065674,           0.0065674,            0.040676
                   2,            0.059267,            0.038247,            0.013082,             0.58855,             0.42118,              0.3216,            0.075238,            0.059206,            0.024325,           0.0077974,            0.009857,            0.009857,            0.010632
                   3,            0.051588,            0.037891,            0.010999,             0.81176,             0.43036,             0.46985,             0.17253,            0.047586,            0.027452,           0.0081574,            0.009901,            0.009901,            0.009901
                   4,              0.0454,            0.035572,           0.0098732,             0.87528,             0.47614,             0.51752,             0.22346,            0.039083,            0.021288,           0.0071792,            0.009901,            0.009901,            0.009901
                   5,            0.041895,            0.035137,           0.0090682,             0.81123,             0.50258,              0.5319,             0.24266,             0.03947,            0.021104,           0.0069548,            0.009868,            0.009868,            0.009868
                   6,            0.041039,            0.033059,           0.0081231,              0.7407,             0.54208,             0.51638,             0.25583,             0.03643,            0.019868,           0.0072645,            0.009835,            0.009835,            0.009835
                   7,            0.040413,            0.033127,           0.0075579,             0.86841,             0.51514,             0.56768,             0.27155,             0.03719,             0.01993,           0.0068538,            0.009802,            0.009802,            0.009802
                   8,            0.039371,            0.034095,           0.0072992,             0.85806,             0.50323,             0.55439,             0.24863,            0.039996,            0.020944,           0.0056187,            0.009769,            0.009769,            0.009769
                   9,            0.039075,            0.033039,           0.0071002,             0.70728,             0.57127,             0.56159,              0.2579,            0.038472,            0.019437,           0.0062416,            0.009736,            0.009736,            0.009736
                  10,             0.03683,            0.031228,           0.0067578,             0.73468,             0.55875,             0.58531,             0.27605,            0.037073,            0.019057,           0.0058545,            0.009703,            0.009703,            0.009703
                  11,            0.036786,            0.030968,           0.0063913,             0.66099,             0.59849,             0.61911,             0.29362,            0.036723,            0.019088,            0.006038,             0.00967,             0.00967,             0.00967
                  12,             0.03701,            0.030521,           0.0061639,             0.60314,             0.56579,             0.57883,             0.27014,            0.037988,            0.019466,           0.0059706,            0.009637,            0.009637,            0.009637
                  13,            0.036113,            0.030272,           0.0058549,             0.61994,             0.61911,             0.59526,             0.28521,            0.037863,            0.018995,           0.0057574,            0.009604,            0.009604,            0.009604
                  14,            0.035493,            0.029108,           0.0057417,             0.68085,             0.62037,             0.62796,             0.31365,            0.035092,            0.018675,           0.0059927,            0.009571,            0.009571,            0.009571
                  15,            0.034915,            0.029613,           0.0053204,             0.72868,             0.64207,             0.64826,             0.34999,            0.033464,            0.018476,            0.005065,            0.009538,            0.009538,            0.009538
                  16,            0.034112,            0.028907,           0.0048772,             0.66223,             0.74776,             0.69875,             0.33698,            0.035502,            0.018584,           0.0043733,            0.009505,            0.009505,            0.009505
                  17,            0.034753,            0.030126,           0.0048033,             0.81372,             0.59689,             0.65195,             0.35333,            0.033497,            0.017769,           0.0050554,            0.009472,            0.009472,            0.009472
                  18,            0.033502,            0.028448,           0.0046302,             0.58591,             0.71787,             0.64498,             0.32355,            0.036613,            0.018474,           0.0061552,            0.009439,            0.009439,            0.009439
