               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1054,            0.053423,            0.035478,              0.6775,            0.055914,           0.0057577,            0.001211,            0.095115,            0.047123,            0.021667,              0.0014,              0.0014,              0.0874
                   1,            0.086108,            0.048235,            0.022149,             0.76006,            0.077295,            0.060223,            0.012679,            0.093506,            0.065533,            0.019311,           0.0028641,           0.0028641,            0.073864
                   2,            0.078434,            0.041809,            0.019181,             0.40142,             0.27782,            0.046234,           0.0078599,            0.092069,            0.049041,            0.015027,           0.0042911,           0.0042911,            0.060291
                   3,            0.074375,             0.03892,            0.017056,             0.49167,             0.34684,             0.12668,            0.022476,            0.079222,            0.052782,            0.012215,            0.005681,            0.005681,            0.046681
                   4,             0.06721,            0.040024,            0.015148,             0.48561,              0.3531,               0.163,            0.029878,            0.074392,            0.057606,           0.0094137,           0.0070337,           0.0070337,            0.033034
                   5,             0.06416,            0.038498,            0.012576,             0.58954,             0.40279,             0.25491,            0.064872,            0.061495,            0.049018,           0.0080728,           0.0083493,           0.0083493,            0.019349
                   6,            0.057861,            0.037482,            0.011222,             0.64485,              0.3602,             0.32359,             0.10609,            0.054285,            0.070636,           0.0082856,           0.0092575,           0.0092575,           0.0092575
                   7,            0.055869,            0.035868,            0.010116,             0.65571,              0.3463,             0.30257,             0.10169,             0.05361,            0.058565,            0.010414,           0.0092575,           0.0092575,           0.0092575
                   8,            0.051414,            0.036196,           0.0095046,              0.6984,             0.45114,             0.38416,             0.12978,            0.048208,            0.035054,            0.008914,           0.0091337,           0.0091337,           0.0091337
                   9,            0.048505,            0.035382,             0.00872,             0.75006,             0.51962,             0.50308,             0.19766,            0.045064,            0.035258,           0.0088225,             0.00901,             0.00901,             0.00901
                  10,             0.04368,            0.032613,           0.0081005,             0.85051,             0.51437,             0.53886,             0.23775,            0.040313,            0.027957,           0.0076227,           0.0088863,           0.0088863,           0.0088863
                  11,            0.041447,            0.032926,           0.0079225,             0.87585,             0.48416,              0.5289,             0.20738,            0.043976,            0.024723,           0.0068144,           0.0087625,           0.0087625,           0.0087625
                  12,            0.044899,             0.03169,           0.0077607,              0.8931,             0.43146,             0.50588,             0.19336,            0.043444,             0.02553,           0.0075836,           0.0086388,           0.0086388,           0.0086388
                  13,            0.041841,            0.031452,             0.00742,             0.89443,              0.4899,             0.55485,             0.22145,            0.043689,            0.023861,           0.0066216,            0.008515,            0.008515,            0.008515
                  14,             0.03916,            0.029784,           0.0071549,             0.89723,             0.43748,             0.53532,             0.21351,            0.045099,            0.023289,           0.0069021,           0.0083913,           0.0083913,           0.0083913
                  15,            0.040313,            0.030156,           0.0069097,             0.55857,              0.6197,             0.58892,             0.30134,            0.036443,            0.022796,           0.0064435,           0.0082675,           0.0082675,           0.0082675
                  16,            0.038952,             0.02955,           0.0064396,             0.87427,              0.5383,             0.59833,             0.26491,            0.039261,            0.022257,           0.0060585,           0.0081437,           0.0081437,           0.0081437
                  17,            0.037865,            0.030929,           0.0064226,             0.90689,             0.50704,             0.58444,             0.30591,            0.035206,            0.022287,           0.0063534,             0.00802,             0.00802,             0.00802
                  18,            0.037883,            0.029445,           0.0059792,             0.75506,             0.56397,              0.5972,             0.30705,            0.038306,            0.022051,            0.006841,           0.0078963,           0.0078963,           0.0078963
                  19,            0.037782,            0.029418,           0.0059467,             0.73501,              0.5331,             0.57944,             0.28439,            0.036875,            0.022143,            0.006774,           0.0077725,           0.0077725,           0.0077725
                  20,            0.037026,            0.028474,           0.0055086,             0.54473,             0.58773,              0.5731,             0.30437,            0.033733,            0.021264,           0.0066318,           0.0076488,           0.0076488,           0.0076488
                  21,            0.037112,            0.030004,           0.0056605,             0.57868,             0.65091,             0.61428,             0.32395,            0.034537,            0.021435,           0.0055495,            0.007525,            0.007525,            0.007525
                  22,            0.034873,            0.028111,           0.0053635,              0.6804,             0.59546,             0.60411,             0.28177,            0.040325,            0.021633,           0.0059406,           0.0074013,           0.0074013,           0.0074013
                  23,            0.036483,            0.029041,           0.0053129,             0.61053,              0.5986,             0.56877,             0.27915,            0.039151,            0.022842,           0.0071588,           0.0072775,           0.0072775,           0.0072775
                  24,            0.035266,            0.028436,           0.0049829,             0.62814,             0.63356,             0.61912,             0.30021,            0.039778,            0.021504,           0.0065254,           0.0071538,           0.0071538,           0.0071538
                  25,            0.034689,            0.027599,           0.0049566,             0.58874,             0.60064,             0.60671,             0.29295,            0.037516,             0.02165,            0.005761,             0.00703,             0.00703,             0.00703
                  26,            0.034132,            0.029462,           0.0044773,             0.64404,             0.60968,             0.59942,             0.33745,            0.032806,            0.021303,           0.0060638,           0.0069063,           0.0069063,           0.0069063
                  27,            0.033636,            0.027667,           0.0042676,             0.54548,             0.74487,             0.64538,             0.34693,            0.034485,            0.021416,           0.0053091,           0.0067825,           0.0067825,           0.0067825
                  28,            0.032983,            0.027961,           0.0042526,             0.59991,              0.6905,             0.65989,             0.36406,            0.034622,            0.021514,           0.0052342,           0.0066587,           0.0066587,           0.0066587
                  29,            0.033831,            0.027851,           0.0040467,             0.74392,             0.62276,             0.67666,             0.36065,            0.034299,            0.021505,           0.0055474,            0.006535,            0.006535,            0.006535
                  30,            0.032687,            0.028518,           0.0038364,             0.61418,             0.75304,             0.64095,             0.35216,            0.033135,            0.021101,           0.0059473,           0.0064112,           0.0064112,           0.0064112
                  31,            0.032543,            0.026844,           0.0036887,             0.76887,             0.61772,             0.67178,             0.35373,            0.035372,            0.021385,           0.0061834,           0.0062875,           0.0062875,           0.0062875
                  32,            0.032231,             0.02652,           0.0034311,              0.6578,             0.69316,             0.68459,             0.39178,             0.03317,            0.022083,           0.0064567,           0.0061637,           0.0061637,           0.0061637
                  33,            0.031504,            0.026183,            0.003318,             0.67785,             0.64233,             0.66394,             0.35526,            0.034431,            0.021621,           0.0063846,             0.00604,             0.00604,             0.00604
                  34,            0.031739,            0.026319,           0.0033598,             0.74874,             0.62421,             0.66531,             0.34114,            0.036454,            0.021625,           0.0061935,           0.0059163,           0.0059163,           0.0059163
                  35,            0.030451,            0.026329,           0.0031089,              0.7819,              0.6203,              0.6666,             0.32696,            0.037345,            0.022219,           0.0058868,           0.0057925,           0.0057925,           0.0057925
                  36,            0.032111,            0.027252,           0.0030852,             0.68082,             0.73564,             0.69092,             0.36356,            0.035283,            0.021648,           0.0053921,           0.0056688,           0.0056688,           0.0056688
                  37,            0.030781,            0.027011,           0.0028747,             0.71405,             0.72348,             0.71388,             0.37763,            0.034001,            0.021281,           0.0050989,            0.005545,            0.005545,            0.005545
                  38,            0.029785,            0.025938,           0.0027943,              0.6545,             0.71346,              0.6882,             0.36448,              0.0346,            0.021584,           0.0048161,           0.0054212,           0.0054212,           0.0054212
                  39,            0.030071,            0.025995,           0.0027583,             0.68919,             0.65258,             0.65065,             0.35768,            0.034038,            0.022224,           0.0055188,           0.0052975,           0.0052975,           0.0052975
                  40,            0.030045,             0.02556,            0.002819,             0.78114,              0.7143,             0.73891,             0.40096,             0.03256,            0.021451,           0.0052262,           0.0051737,           0.0051737,           0.0051737
                  41,             0.02946,            0.025352,            0.002733,             0.77386,             0.69831,             0.73979,             0.39053,            0.034202,            0.022512,           0.0047175,             0.00505,             0.00505,             0.00505
                  42,            0.030207,            0.025375,           0.0025204,             0.78918,             0.64762,             0.70873,             0.40233,            0.032498,            0.021395,           0.0050576,           0.0049263,           0.0049263,           0.0049263
