               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087665,            0.054072,            0.028869,             0.77349,             0.19388,             0.12163,            0.026788,             0.06486,            0.031787,            0.018034,           0.0033033,           0.0033033,             0.07027
                   1,             0.06726,            0.039624,            0.016089,             0.64191,             0.18495,             0.20154,            0.039553,            0.071681,            0.021887,            0.010208,           0.0066147,           0.0066147,            0.040248
                   2,            0.060037,            0.034933,             0.01236,             0.67753,             0.41266,             0.36087,             0.13237,            0.056144,            0.020808,            0.010649,           0.0099042,           0.0099042,            0.010204
                   3,            0.051541,            0.034443,            0.010457,               0.749,             0.49384,             0.46122,             0.22066,            0.042141,            0.021313,           0.0082036,            0.009901,            0.009901,            0.009901
                   4,            0.043679,            0.033253,           0.0089911,             0.83251,             0.50878,             0.52317,             0.23278,            0.043509,            0.020563,           0.0075645,            0.009901,            0.009901,            0.009901
                   5,            0.040364,            0.031898,           0.0086573,             0.88022,             0.55375,             0.61511,             0.31394,            0.035954,            0.019745,           0.0063354,            0.009868,            0.009868,            0.009868
                   6,            0.039312,            0.030806,           0.0078687,              0.8733,             0.52003,             0.58431,             0.24847,            0.038626,             0.02018,           0.0068574,            0.009835,            0.009835,            0.009835
                   7,            0.037729,            0.029906,           0.0074248,             0.69935,             0.59051,             0.59501,             0.31852,            0.033858,            0.019329,           0.0068058,            0.009802,            0.009802,            0.009802
                   8,            0.036543,            0.029059,            0.006777,                0.61,             0.69563,             0.66913,             0.37905,            0.031105,            0.019047,           0.0062755,            0.009769,            0.009769,            0.009769
                   9,            0.036634,             0.02941,           0.0060186,               0.754,             0.65892,             0.67339,             0.28846,            0.043499,            0.020563,           0.0068943,            0.009736,            0.009736,            0.009736
                  10,            0.034999,            0.029774,           0.0057493,             0.71049,               0.644,             0.67605,             0.31805,            0.038558,            0.019991,           0.0066944,            0.009703,            0.009703,            0.009703
                  11,            0.034471,             0.02826,           0.0050739,             0.76564,             0.68429,              0.7013,             0.37649,            0.032978,            0.019266,            0.005947,             0.00967,             0.00967,             0.00967
                  12,            0.032801,            0.027834,           0.0045374,             0.70503,             0.69055,             0.69834,             0.34774,            0.038851,            0.019759,           0.0052562,            0.009637,            0.009637,            0.009637
                  13,             0.03387,            0.028233,           0.0047383,              0.7085,             0.68142,             0.68798,             0.38167,            0.032933,            0.019584,           0.0056332,            0.009604,            0.009604,            0.009604
                  14,            0.032819,            0.026724,           0.0043383,             0.88107,              0.6497,             0.72923,              0.3782,            0.035749,            0.019701,            0.005306,            0.009571,            0.009571,            0.009571
                  15,            0.032467,              0.0273,           0.0039357,             0.75896,             0.67395,             0.68867,             0.35898,            0.034005,            0.019825,           0.0052761,            0.009538,            0.009538,            0.009538
