               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.027321,            0.025426,           0.0031385,             0.77185,             0.76318,             0.76911,             0.45864,            0.030169,            0.019296,           0.0053371,            0.008251,            0.008251,            0.008251
                  55,            0.024724,            0.023213,           0.0025979,             0.86307,             0.71085,             0.76802,             0.47338,            0.028649,            0.018635,           0.0047116,           0.0021382,           0.0021382,           0.0021382
                  56,            0.023616,            0.022649,           0.0019973,             0.85479,             0.73044,             0.78505,             0.47598,            0.030229,            0.019418,           0.0051599,           0.0019926,           0.0019926,           0.0019926
                  57,            0.022842,            0.021654,            0.001766,             0.86508,             0.73603,             0.79653,             0.49397,            0.028794,            0.018758,           0.0043588,           0.0018471,           0.0018471,           0.0018471
                  58,            0.022041,            0.020816,           0.0016093,             0.85575,              0.7468,             0.78973,             0.49435,            0.028905,            0.018796,           0.0049513,           0.0017015,           0.0017015,           0.0017015
                  59,            0.021556,            0.020642,           0.0014719,             0.84291,             0.74593,             0.78786,              0.4951,             0.02834,            0.019107,           0.0047673,           0.0015559,           0.0015559,           0.0015559
                  60,            0.021407,            0.020972,           0.0014313,             0.90279,             0.70227,             0.77703,             0.49924,            0.028191,             0.01908,           0.0048029,           0.0014103,           0.0014103,           0.0014103
                  61,            0.021157,            0.020513,           0.0013054,             0.91236,             0.71369,             0.79547,             0.51021,            0.027878,            0.018904,           0.0046008,           0.0012647,           0.0012647,           0.0012647
                  62,            0.020835,            0.019615,           0.0012593,             0.82346,             0.76074,             0.79129,             0.50494,            0.028008,            0.019262,           0.0046426,           0.0011191,           0.0011191,           0.0011191
                  63,            0.020467,            0.019891,           0.0013406,             0.81722,             0.76186,             0.79083,              0.4981,             0.02888,            0.019739,           0.0049402,          0.00097353,          0.00097353,          0.00097353
                  64,            0.020194,            0.020046,           0.0012053,             0.79004,             0.78002,             0.79239,             0.51094,            0.028068,            0.019396,            0.004734,          0.00082794,          0.00082794,          0.00082794
                  65,            0.020056,              0.0188,           0.0013707,             0.87682,             0.71663,             0.78944,             0.50973,            0.028042,            0.019533,           0.0049334,          0.00068235,          0.00068235,          0.00068235
                  66,             0.02016,            0.018755,             0.00127,              0.8481,             0.72827,             0.79325,             0.50069,            0.028095,            0.019563,           0.0048935,          0.00053676,          0.00053676,          0.00053676
                  67,            0.019746,            0.019057,            0.001116,             0.86778,             0.71635,              0.7871,             0.49666,            0.028545,            0.019857,           0.0049646,          0.00039118,          0.00039118,          0.00039118
