               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074424,            0.052919,            0.020072,           0.0011201,            0.036541,          0.00062477,          0.00013726,                 nan,                 nan,                 nan,           0.0033033,           0.0033033,             0.07027
                   1,            0.069012,            0.052013,            0.015525,             0.70736,             0.15333,            0.036033,           0.0058882,            0.092594,             0.49142,            0.022439,           0.0066147,           0.0066147,            0.040248
                   2,            0.065365,            0.050158,            0.015554,             0.43099,             0.12171,            0.067603,            0.012783,            0.078982,             0.29131,            0.017314,           0.0099042,           0.0099042,            0.010204
                   3,            0.063381,            0.049876,            0.014859,              0.7813,            0.076724,            0.064568,            0.024941,            0.098825,            0.037754,            0.066036,            0.009901,            0.009901,            0.009901
                   4,            0.062277,            0.050663,            0.014615,             0.66005,             0.18789,             0.15282,            0.041356,            0.081072,             0.04657,             0.16824,            0.009901,            0.009901,            0.009901
                   5,            0.069478,            0.053432,            0.018101,             0.76836,            0.080353,            0.055447,            0.016391,                 nan,                 nan,            0.030365,            0.009868,            0.009868,            0.009868
                   6,                 nan,                 nan,            0.015318,              0.8633,             0.13997,             0.16612,            0.045258,            0.064016,            0.053595,            0.014479,            0.009835,            0.009835,            0.009835
                   7,            0.061956,            0.050933,            0.014548,             0.59705,             0.25542,             0.24327,            0.096659,            0.073324,            0.035493,            0.050887,            0.009802,            0.009802,            0.009802
                   8,            0.060638,            0.047875,            0.013792,             0.65453,             0.26868,             0.25268,            0.093811,             0.05628,            0.034153,            0.011055,            0.009769,            0.009769,            0.009769
                   9,            0.058108,            0.048529,            0.013046,             0.63498,             0.27049,             0.25941,            0.098629,            0.058118,            0.033244,            0.011689,            0.009736,            0.009736,            0.009736
                  10,            0.057131,            0.049394,            0.012926,             0.79391,             0.29271,              0.3222,             0.12819,            0.055593,            0.029089,            0.010043,            0.009703,            0.009703,            0.009703
                  11,            0.055058,            0.046434,            0.012606,             0.69152,             0.30784,              0.3048,            0.094182,            0.059537,            0.029277,            0.010193,             0.00967,             0.00967,             0.00967
                  12,            0.054094,            0.046068,            0.011657,             0.76167,             0.30984,             0.32897,             0.11915,            0.059783,            0.028357,           0.0091197,            0.009637,            0.009637,            0.009637
                  13,            0.053783,            0.046927,            0.012737,             0.78984,             0.30182,             0.33904,             0.10025,            0.054003,            0.033597,            0.011445,            0.009604,            0.009604,            0.009604
                  14,            0.052605,             0.04428,            0.012906,             0.80647,             0.32428,             0.36283,              0.1156,            0.055775,            0.027914,             0.01017,            0.009571,            0.009571,            0.009571
                  15,            0.052762,            0.045752,            0.012219,             0.79489,              0.2982,             0.34126,             0.10189,            0.058853,            0.026775,           0.0092546,            0.009538,            0.009538,            0.009538
